Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
Palacios de la Valduerna (León),Muy bajo,Bajo,Bajo,Moderado,Muy alto,Alto,Alto
Palacios del Arzobispo (Salamanca),Moderado,Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Palacios del Pan (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Palacios del Sil (León),Bajo,Moderado,Moderado,Moderado,Extremo,Extremo,Extremo
Palaciosrubios (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Palafolls (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Palafrugell (Girona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Palamós (Girona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Palanques (Castellón),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Palas de Rei (Lugo),Muy bajo,Bajo,Bajo,Moderado,Muy alto,Alto,Muy alto
Palau de Santa Eulàlia (Girona),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Palau-sator (Girona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Palau-saverdera (Girona),Moderado,Moderado,Alto,Alto,Muy alto,Alto,Extremo
Palau-solità i Plegamans (Barcelona),Muy bajo,Muy bajo,Muy alto,Muy bajo,Muy bajo,Muy bajo,Moderado
Palazuelo de Vedija (Valladolid),Alto,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Palazuelos de Eresma (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Palazuelos de Muñó (Burgos),Alto,Muy alto,Moderado,Alto,Extremo,Muy alto,Extremo
Palazuelos de la Sierra (Burgos),Muy alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Palencia (Palencia),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Alto
Palencia de Negrilla (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Palenciana (Córdoba),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Palenzuela (Palencia),Alto,Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto
Pallejà (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Palma (Baleares),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Palma de Gandía (Valencia),Moderado,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Palma del Río (Córdoba),Moderado,Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto
Palmera (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Palo (Huesca),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Palol de Revardit (Girona),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Palomar de Arroyos (Teruel),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Palomares del Campo (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Palomares del Río (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Muy alto
Palomas (Badajoz),Alto,Muy alto,Muy alto,Alto,Moderado,Muy alto,Extremo
Palomeque (Toledo),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Palomera (Cuenca),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Palomero (Cáceres),Moderado,Alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Palos de la Frontera (Huelva),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Pals (Girona),Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Pampaneira (Granada),Muy alto,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Pampliega (Burgos),Moderado,Muy alto,Moderado,Moderado,Muy alto,Alto,Muy alto
Pamplona/Iruña (Navarra),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Pancorbo (Burgos),Moderado,Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo
Pancrudo (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Paniza (Zaragoza),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Panticosa (Huesca),Moderado,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pantoja (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pantón (Lugo),Muy bajo,Bajo,Moderado,Moderado,Alto,Alto,Alto
Papatrigo (Ávila),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Paracuellos (Cuenca),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Paracuellos de Jarama (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Paracuellos de Jiloca (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto
Paracuellos de la Ribera (Zaragoza),Moderado,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Parada de Arriba (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Parada de Rubiales (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Parada de Sil (Ourense),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Paradas (Sevilla),Moderado,Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto
Paradela (Lugo),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Paradinas de San Juan (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Parauta (Málaga),Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Parcent (Alicante),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Pardilla (Burgos),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Pardines (Girona),Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo,Muy alto
Pardos (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Paredes (Cuenca),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Paredes de Escalona (Toledo),Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Paredes de Nava (Palencia),Moderado,Moderado,Moderado,Alto,Extremo,Muy alto,Muy alto
Paredes de Sigüenza (Guadalajara),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Pareja (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Parets del Vallès (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Parla (Madrid),Muy alto,Muy bajo,Extremo,Muy bajo,Muy alto,Extremo,Extremo
Parlavà (Girona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Parres (Asturias),Muy bajo,Muy bajo,Muy bajo,Moderado,Moderado,Muy alto,Muy alto
Parrillas (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Partaloa (Almería),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Partido de la Sierra en Tobalina (Burgos),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Parzoneria de Entzia (nan),Moderado,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Parzonería general de Guipuzkoa y Araba/Álava (nan),Alto,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Pasaia (Guipúzcoa),Moderado,Alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Pasarón de la Vera (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Pascualcobo (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Passanant i Belltall (Tarragona),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Pastores (Salamanca),Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Pastrana (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pastriz (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Paterna (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Paterna de Rivera (Cádiz),Muy alto,Alto,Muy alto,Muy alto,Moderado,Moderado,Muy alto
Paterna del Campo (Huelva),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Paterna del Madera (Albacete),Extremo,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Paterna del Río (Almería),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Patones (Madrid),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Pau (Girona),Moderado,Moderado,Alto,Alto,Muy alto,Alto,Muy alto
Pavías (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Paymogo (Huelva),Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Payo de Ojeda (Palencia),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Pazos de Borbén (Pontevedra),Bajo,Moderado,Moderado,Moderado,Moderado,Alto,Moderado
Pazuengos (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Paüls (Tarragona),Moderado,Muy alto,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Peal de Becerro (Jaén),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pechina (Almería),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Moderado
Pedrafita do Cebreiro (Lugo),Muy bajo,Bajo,Bajo,Bajo,Alto,Muy alto,Muy alto
Pedrajas de San Esteban (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Pedralba (Valencia),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Pedralba de la Pradería (Zamora),Alto,Moderado,Alto,Alto,Muy alto,Extremo,Extremo
Pedraza (Segovia),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Pedraza de Alba (Salamanca),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Pedraza de Campos (Palencia),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Pedreguer (Alicante),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Pedrera (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Pedret i Marzà (Girona),Moderado,Moderado,Alto,Alto,Muy alto,Muy alto,Extremo
Pedrezuela (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pedro Abad (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pedro Bernardo (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pedro Martínez (Granada),Extremo,Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo
Pedro Muñoz (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Pedro-Rodríguez (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Pedroche (Córdoba),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Extremo
Pedrola (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Pedrosa de Duero (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pedrosa de Río Úrbel (Burgos),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Pedrosa de la Vega (Palencia),Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Pedrosa del Príncipe (Burgos),Alto,Muy alto,Moderado,Muy alto,Extremo,Muy alto,Extremo
Pedrosa del Páramo (Burgos),Muy alto,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Pedrosa del Rey (Valladolid),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Pedrosillo de Alba (Salamanca),Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo,Extremo
Pedrosillo de los Aires (Salamanca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Pedrosillo el Ralo (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Pedroso (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Pedroso de Acim (Cáceres),Alto,Alto,Alto,Muy alto,Alto,Extremo,Extremo
Pegalajar (Jaén),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Pego (Alicante),Bajo,Bajo,Bajo,Bajo,Bajo,Moderado,Moderado
Peguerinos (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Pelabravo (Salamanca),Alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Pelahustán (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pelarrodríguez (Salamanca),Moderado,Alto,Alto,Muy alto,Alto,Extremo,Muy alto
Pelayos (Salamanca),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Pelayos de la Presa (Madrid),Muy alto,Muy bajo,Muy alto,Extremo,Muy alto,Extremo,Extremo
Pelayos del Arroyo (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Peleagonzalo (Zamora),Moderado,Moderado,Moderado,Moderado,Alto,Muy alto,Alto
Peleas de Abajo (Zamora),Moderado,Moderado,Moderado,Alto,Alto,Muy alto,Muy alto
Peligros (Granada),Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo,Extremo
Penagos (Cantabria),Muy bajo,Muy bajo,Bajo,Alto,Extremo,Extremo,Muy alto
Penelles (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Penàguila (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Moderado,Moderado
Peníscola/Peñíscola (Castellón),Alto,Alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Pepino (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peque (Zamora),Moderado,Moderado,Moderado,Moderado,Alto,Moderado,Moderado
Peracense (Teruel),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Perafita (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Perafort (Tarragona),Alto,Muy alto,Muy alto,Muy alto,Muy bajo,Muy alto,Muy alto
Peral de Arlanza (Burgos),Alto,Moderado,Alto,Muy alto,Extremo,Muy alto,Muy alto
Peralada (Girona),Moderado,Moderado,Alto,Alto,Muy alto,Muy alto,Extremo
Peraleda de San Román (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Peraleda de la Mata (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Extremo
Peraleda del Zaucejo (Badajoz),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Peralejos (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Peralejos de Abajo (Salamanca),Moderado,Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Peralejos de Arriba (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Peralejos de las Truchas (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Perales (Palencia),Moderado,Alto,Moderado,Alto,Muy alto,Alto,Muy alto
Perales de Tajuña (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Perales del Alfambra (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Perales del Puerto (Cáceres),Moderado,Moderado,Moderado,Muy alto,Alto,Extremo,Extremo
Peralta de Alcofea (Huesca),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Alto,Extremo
Peralta de Calasanz (Huesca),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peralta/Azkoien (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Peraltilla (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Peralveche (Guadalajara),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Peramola (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Peranzanes (León),Bajo,Bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto
Perarrúa (Huesca),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Perdiguera (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Pereruela (Zamora),Muy alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Pereña de la Ribera (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Periana (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Perilla de Castro (Zamora),Alto,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Peromingo (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Perosillo (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Pertusa (Huesca),Muy alto,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Pesaguero (Cantabria),Muy bajo,Muy bajo,Muy bajo,Bajo,Bajo,Moderado,Moderado
Pescueza (Cáceres),Alto,Muy alto,Alto,Muy alto,Alto,Extremo,Extremo
Pesoz (Asturias),Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Alto,Alto
Pesquera (Cantabria),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Alto
Pesquera de Duero (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Petilla de Aragón (Navarra),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Petra (Baleares),Moderado,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Petrer (Alicante),Extremo,Muy alto,Muy alto,Muy alto,Alto,Alto,Muy alto
Petrés (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy alto,Muy bajo,Muy alto
Petín (Ourense),Bajo,Moderado,Moderado,Alto,Muy alto,Extremo,Extremo
Pezuela de las Torres (Madrid),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peñacaballera (Salamanca),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Peñacerrada-Urizaharra (Álava),Alto,Alto,Alto,Muy alto,Extremo,Extremo,Extremo
Peñafiel (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peñaflor (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Peñaflor de Hornija (Valladolid),Alto,Moderado,Alto,Muy alto,Alto,Muy alto,Muy alto
Peñalba (Huesca),Muy alto,Alto,Moderado,Alto,Alto,Muy alto,Extremo
Peñalba de Ávila (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peñalsordo (Badajoz),Alto,Alto,Alto,Alto,Muy alto,Muy alto,Extremo
Peñalver (Guadalajara),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
Peñalén (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Peñamellera Alta (Asturias),Muy bajo,Muy bajo,Muy bajo,Moderado,Muy alto,Muy alto,Muy alto
Peñamellera Baja (Asturias),Muy bajo,Muy bajo,Muy bajo,Moderado,Muy alto,Muy alto,Muy alto
Peñaparda (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peñaranda de Bracamonte (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peñaranda de Duero (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Peñarandilla (Salamanca),Alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Muy alto
Peñarroya de Tastavins (Teruel),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Peñarroya-Pueblonuevo (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Peñarrubia (Cantabria),Muy bajo,Muy bajo,Muy bajo,Moderado,Moderado,Muy alto,Muy alto
Peñas de San Pedro (Albacete),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo
Peñascosa (Albacete),Extremo,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Peñausende (Zamora),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Peñón de Alhucemas (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Peñón de Vélez de la Gomera (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Picanya (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Picassent (Valencia),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Picón (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Piedrabuena (Ciudad Real),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Piedrahita de Castro (Zamora),Alto,Moderado,Moderado,Alto,Alto,Muy alto,Alto
Piedrahíta (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Piedralaves (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Piedramillera (Navarra),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Piedras Albas (Cáceres),Moderado,Alto,Alto,Alto,Moderado,Extremo,Extremo
Piedratajada (Zaragoza),Alto,Alto,Moderado,Alto,Muy alto,Alto,Extremo
Piera (Barcelona),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Pilar de la Horadada (Alicante),Muy alto,Moderado,Moderado,Moderado,Moderado,Bajo,Moderado
Pilas (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Piles (Valencia),Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo
Piloña (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Alto,Muy alto
Pina de Ebro (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Pina de Montalgrao (Castellón),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Pinarejo (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pinarejos (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pinarnegrillo (Segovia),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Pineda Trasmonte (Burgos),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Pineda de Gigüela (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pineda de Mar (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Pineda de la Sierra (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Pinedas (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pinell de Solsonès (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo
Pinet (Valencia),Alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Pinilla Trasmonte (Burgos),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Pinilla de Jadraque (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Pinilla de Molina (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pinilla de Toro (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Pinilla de los Barruecos (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Pinilla de los Moros (Burgos),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Pinilla del Campo (Soria),Extremo,Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo
Pinilla del Valle (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pinillos (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Pino del Oro (Zamora),Muy alto,Moderado,Moderado,Alto,Muy alto,Extremo,Muy alto
Pino del Río (Palencia),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Pinofranqueado (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Pinos Genil (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pinos Puente (Granada),Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Pinseque (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Pinto (Madrid),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Pinós (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Piornal (Cáceres),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Pioz (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Piqueras (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Piqueras del Castillo (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pira (Tarragona),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto
Piracés (Huesca),Muy alto,Alto,Moderado,Alto,Alto,Alto,Extremo
Pitarque (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Pitiegua (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Pitillas (Navarra),Muy alto,Alto,Alto,Alto,Extremo,Muy alto,Extremo
Pizarra (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Pizarral (Salamanca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Piélagos (Cantabria),Muy bajo,Muy bajo,Bajo,Muy alto,Extremo,Extremo,Muy alto
Piérnigas (Burgos),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
